Contributing publications,Fibroblasts,Epicardial,Cycling,Endothelial_cells,Cardiomyocytes,Smooth_muscle_cells,Pericytes,Monocyte_Macrophages,Schwann_Glial_cells,DC_like_cells,Granulocytes,T_cells,NK_cells,B_cells,All
Skelly_2018_PMID_29346760,Pdgfra,Tbx18,Mki67,Cdh5,Nppa,Acta2,Pdgfrb,Fcgr1,Plp1,Cd209a,S100a8,Cd3e,Ncr1,Ms4a1,Pdgfra
Farbehi_2019_PMID_30912746,Col1a1,Wt1,Ccnb2,Pecam1,Nppb,Tagln,Cspg4,Adgre1,Kcna1,H2-Ab1,S100a9,Cd3d,Klrk1,Cd79a,Col1a1
Ramachandran_2019_PMID_31597160,Tcf21,Aqp1,Stmn1,Kdr,Actc1,Myh11,Vtn,Cx3cr1,,Cd74,Ccr1,Lef1,Ccl5,,Tcf21
Owenier_2020_PMID_31504244,Gsn,Lcn2,Ccna2,Fabp4,Myh6,Rgs5,,H2-Aa,,,Csf3r,Cd8a,,,Gsn
Forte_2020_PMID_32130914,Dcn,Serpinb2,,,Tnnc1,,,Ccr2,,,,,,,Dcn
Bochmann_2010_PMID_20596535,Postn,Dmkn,,,Tnnt2,,,Mrc1,,,,,,,Postn
,Cthrc1,Krt19,,,,,,Cd68,,,,,,,Cthrc1
,,Krt8,,,,,,Itgam,,,,,,,Tbx18
,,Upk3b,,,,,,Lgals3,,,,,,,Wt1
,,Clu,,,,,,,,,,,,,Aqp1
,,Gpm6a,,,,,,,,,,,,,Lcn2
,,Bnc1,,,,,,,,,,,,,Serpinb2
,,Saa3,,,,,,,,,,,,,Dmkn
,,,,,,,,,,,,,,,Krt19
,,,,,,,,,,,,,,,Krt8
,,,,,,,,,,,,,,,Upk3b
,,,,,,,,,,,,,,,Clu
,,,,,,,,,,,,,,,Gpm6a
,,,,,,,,,,,,,,,Bnc1
,,,,,,,,,,,,,,,Saa3
,,,,,,,,,,,,,,,Mki67
,,,,,,,,,,,,,,,Ccnb2
,,,,,,,,,,,,,,,Stmn1
,,,,,,,,,,,,,,,Ccna2
,,,,,,,,,,,,,,,Cdh5
,,,,,,,,,,,,,,,Pecam1
,,,,,,,,,,,,,,,Kdr
,,,,,,,,,,,,,,,Fabp4
,,,,,,,,,,,,,,,Nppa
,,,,,,,,,,,,,,,Nppb
,,,,,,,,,,,,,,,Actc1
,,,,,,,,,,,,,,,Myh6
,,,,,,,,,,,,,,,Tnnc1
,,,,,,,,,,,,,,,Tnnt2
,,,,,,,,,,,,,,,Acta2
,,,,,,,,,,,,,,,Tagln
,,,,,,,,,,,,,,,Myh11
,,,,,,,,,,,,,,,Rgs5
,,,,,,,,,,,,,,,Pdgfrb
,,,,,,,,,,,,,,,Cspg4
,,,,,,,,,,,,,,,Vtn
,,,,,,,,,,,,,,,Fcgr1
,,,,,,,,,,,,,,,Adgre1
,,,,,,,,,,,,,,,Cx3cr1
,,,,,,,,,,,,,,,H2-Aa
,,,,,,,,,,,,,,,Ccr2
,,,,,,,,,,,,,,,Mrc1
,,,,,,,,,,,,,,,Cd68
,,,,,,,,,,,,,,,Itgam
,,,,,,,,,,,,,,,Lgals3
,,,,,,,,,,,,,,,Plp1
,,,,,,,,,,,,,,,Kcna1
,,,,,,,,,,,,,,,Cd209a
,,,,,,,,,,,,,,,H2-Ab1
,,,,,,,,,,,,,,,Cd74
,,,,,,,,,,,,,,,S100a8
,,,,,,,,,,,,,,,S100a9
,,,,,,,,,,,,,,,Ccr1
,,,,,,,,,,,,,,,Csf3r
,,,,,,,,,,,,,,,Cd3e
,,,,,,,,,,,,,,,Cd3d
,,,,,,,,,,,,,,,Lef1
,,,,,,,,,,,,,,,Cd8a
,,,,,,,,,,,,,,,Ncr1
,,,,,,,,,,,,,,,Klrk1
,,,,,,,,,,,,,,,Ccl5
,,,,,,,,,,,,,,,Ms4a1
,,,,,,,,,,,,,,,Cd79a
