s.genes,g2m.genes,mouse.s.genes,mouse.g2m.genes
MCM5,HMGB2,Mcm5,Hmgb2
PCNA,CDK1,Pcna,Cdk1
TYMS,NUSAP1,Tyms,Nusap1
FEN1,UBE2C,Fen1,Ube2c
MCM7,BIRC5,Mcm7,Birc5
MCM4,TPX2,Mcm4,Tpx2
RRM1,TOP2A,Rrm1,Top2a
UNG,NDC80,Ung,Ndc80
GINS2,CKS2,Gins2,Cks2
MCM6,NUF2,Mcm6,Nuf2
CDCA7,CKS1B,Cdca7,Cks1b
DTL,MKI67,Dtl,Mki67
PRIM1,TMPO,Prim1,Tmpo
UHRF1,CENPF,Uhrf1,Cenpf
CENPU,TACC3,Cenpu,Tacc3
HELLS,PIMREG,Hells,Pimreg
RFC2,SMC4,Rfc2,Smc4
POLR1B,CCNB2,Polr1b,Ccnb2
NASP,CKAP2L,Nasp,Ckap2l
RAD51AP1,CKAP2,Rad51ap1,Ckap2
GMNN,AURKB,Gmnn,Aurkb
WDR76,BUB1,Wdr76,Bub1
SLBP,KIF11,Slbp,Kif11
CCNE2,ANP32E,Ccne2,Anp32e
UBR7,TUBB4B,Ubr7,Tubb4b
POLD3,GTSE1,Pold3,Gtse1
MSH2,KIF20B,Msh2,Kif20b
ATAD2,HJURP,Atad2,Hjurp
RAD51,CDCA3,Rad51,Cdca3
RRM2,JPT1,Rrm2,Jpt1
CDC45,CDC20,Cdc45,Cdc20
CDC6,TTK,Cdc6,Ttk
EXO1,CDC25C,Exo1,Cdc25c
TIPIN,KIF2C,Tipin,Kif2c
DSCC1,RANGAP1,Dscc1,Rangap1
BLM,NCAPD2,Blm,Ncapd2
CASP8AP2,DLGAP5,Casp8ap2,Dlgap5
USP1,CDCA2,Usp1,Cdca2
CLSPN,CDCA8,Clspn,Cdca8
POLA1,ECT2,Pola1,Ect2
CHAF1B,KIF23,Chaf1b,Kif23
MRPL36,HMMR,Mrpl36,Hmmr
E2F8,AURKA,E2f8,Aurka
,PSRC1,,Psrc1
,ANLN,,Anln
,LBR,,Lbr
,CKAP5,,Ckap5
,CENPE,,Cenpe
,CTCF,,Ctcf
,NEK2,,Nek2
,G2E3,,G2e3
,GAS2L3,,Gas2l3
,CBX5,,Cbx5
,CENPA,,Cenpa
